word,frequency
odavati,8
osećati,126
mikrofon,36
približavati,19
non-stop,22
pretpostavljati,98
slabo,15
kontinuirati,29
kršenje,74
reklamirati,97
kolega,1518
ignoriseti,17
uspostavljati,7
praznik,44
parlamentarizam,29
profesor,580
štiva,1
čitata,2
poslovan,81
savladati,9
ispostaviti,26
pomagati,121
srđan,153
smiljanić,5
poent,35
stiditi,26
kontrolisiti,1
elementaran,59
rođenje,36
školovati,36
kriminal,145
bratija,8
mafija,40
poslanica,243
nemovati,231
opominjati,28
sekunda,115
izviniti,261
dodati,117
pogled,148
dosta,251
uspešan,167
mlad,720
naprotiv,58
dominirati,7
pristojnost,28
108.,25
primeniti,93
stalan,91
kidisanje,1
pljunuti,6
javiti,284
zasmetati,5
podsećanje,9
tzv.,246
sastaviti,43
ponosno,14
približiti,33
interesantan,93
maločas,44
slovo,27
otprilike,85
znanje,216
razmetati,1
pojam,27
morović,9
kokošak,2
gavati,8
marihuana,16
ostavo,1
slučaj,580
nervni,4
slom,11
tvrditi,195
psihopat,8
pomešati,12
oduvek,15
vrediti,89
netačan,49
čudo,32
infarkt,4
izgovoriti,129
istina,493
organizam,11
navikati,11
upravljati,109
vikati,22
arlaukati,1
skakati,5
ajde,62
izvestan,56
nakolnost,1
zamišljati,21
golog,4
magnetski,1
privlačnost,2
ostavljati,52
ravnodušni,2
mešati,30
potreba,542
odgovarati,408
shvatiti,286
mirni,13
tiha,2
pratiti,218
iskusan,20
brzo,176
izlaganje,253
ritam,3
sumnjati,66
progovoriti,15
podvijen,2
repa,3
verbalan,7
iskustvo,184
normalno,75
ćerka,21
nekako,189
normalan,328
negirati,21
super,73
hoći,231
stojiti,10
nečisti,2
gašić,63
upečatljiv,5
zvezda,23
zona,123
sumrak,5
svetlo,31
dušae,2
potpunost,97
izuzimati,4
neistina,284
činjenično,6
dokazati,159
domen,22
probavati,13
pronaći,95
pokretati,22
pokušati,345
nečistiti,1
norodno,2
nenormalan,16
niše,10
hajd,3
bora,257
piti,91
boro,2
dokazuješ.,1
poltron,1
nađiti,9
mera,564
dss-ovac,1
braniti,340
napadati,163
dobro.,8
besiti,6
slavica,146
đukić,64
dejanović,54
sedneš,1
prekoput,11
pacijent,107
kazeti,24
leza,1
pričaj,5
detinjstvo,5
gospođ,64
zahtev,658
unija,150
genocidni,12
spominjati,117
uspeti,443
ipak,241
blesav,8
ovlašćen,82
izabremoti,16
srećan,55
dva-tar,1
stvaran,65
pleniti,2
ometati,18
ulaziti,164
sačekajte,2
koleginica,399
počinjati,79
uspostaviti,104
klima,30
uvažavanje,44
odjedanput,13
sačekati,83
života,24
